,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
2225,Donald Sloan,2015-16,28,BRK,NBA,2,61,33,1318,154,350,116,251,38,99,78,104,17,156,173,268,32,4,80,73,424,0.44,0.462,0.384,0.494,0.75,0.536
2226,Rodney Stuckey,2015-16,29,IND,NBA,2,58,1,1275,183,443,163,360,20,83,131,158,19,137,156,142,43,8,76,77,517,0.413,0.453,0.241,0.436,0.829,0.504
2227,Hasheem Thabeet,2009-10,22,MEM,NBA,2,68,13,883,77,131,77,131,0,0,54,93,85,158,243,11,15,89,43,162,208,0.588,0.588,,0.588,0.581,0.605
2228,Hollis Thompson,2013-14,22,PHI,NBA,2,77,41,1742,171,372,104,205,67,167,52,73,73,174,247,73,53,12,60,144,461,0.46,0.507,0.401,0.55,0.712,0.57
2229,Marcus Thornton,2013-14,26,TOT,NBA,2,72,27,1741,252,639,143,323,109,316,90,112,57,141,198,77,58,11,67,110,703,0.394,0.443,0.345,0.48,0.804,0.511
2230,Evan Turner,2018-19,30,POR,NBA,2,73,2,1605,204,443,193,391,11,52,75,106,37,291,328,283,33,18,114,110,494,0.46,0.494,0.212,0.473,0.708,0.504
2231,Taurean Waller-Prince,2017-18,23,ATL,NBA,2,82,82,2464,415,975,239,518,176,457,152,180,50,339,389,214,85,42,191,168,1158,0.426,0.461,0.385,0.516,0.844,0.549
2232,Shelden Williams,2009-10,26,BOS,NBA,2,54,0,597,63,121,63,120,0,1,75,98,47,99,146,21,13,21,30,85,201,0.521,0.525,0,0.521,0.765,0.612
2233,Tyler Zeller,2012-13,23,CLE,NBA,2,77,55,2033,245,559,245,555,0,4,120,157,159,279,438,96,35,70,95,251,610,0.438,0.441,0,0.438,0.764,0.486
2234,Ante _i_i_,2018-19,22,CLE,NBA,2,59,25,1082,183,331,183,331,0,0,93,132,108,212,320,53,13,22,61,113,459,0.553,0.553,,0.553,0.705,0.59
2235,Tony Allen,2009-10,28,BOS,NBA,1.9,54,8,889,129,253,129,248,0,5,72,119,52,93,145,72,59,19,66,109,330,0.51,0.52,0,0.51,0.605,0.54
2236,Al-Farouq Aminu,2016-17,26,POR,NBA,1.9,61,25,1773,183,466,113,254,70,212,96,136,77,374,451,99,60,44,94,102,532,0.393,0.445,0.33,0.468,0.706,0.506
2237,Chris Andersen,2011-12,33,DEN,NBA,1.9,32,1,486,59,108,59,108,0,0,50,82,48,100,148,6,19,46,17,52,168,0.546,0.546,,0.546,0.61,0.583
2238,James Anderson,2013-14,24,PHI,NBA,1.9,80,62,2309,309,717,194,366,115,351,77,106,59,241,300,149,74,28,106,154,810,0.431,0.53,0.328,0.511,0.726,0.53
2239,Justin Anderson,2016-17,23,TOT,NBA,1.9,75,10,1228,186,439,128,245,58,194,102,129,69,176,245,66,41,23,66,109,532,0.424,0.522,0.299,0.49,0.791,0.537
2240,J.J. Barea,2012-13,28,MIN,NBA,1.9,74,2,1713,316,758,219,478,97,280,105,134,34,173,207,294,32,0,145,131,834,0.417,0.458,0.346,0.481,0.784,0.51
2241,Nemanja Bjelica,2015-16,27,MIN,NBA,1.9,60,0,1075,110,235,62,110,48,125,40,55,49,161,210,83,26,21,47,154,308,0.468,0.564,0.384,0.57,0.727,0.594
2242,Devin Booker,2015-16,19,PHO,NBA,1.9,76,51,2108,367,867,268,578,99,289,215,256,27,160,187,200,44,20,160,225,1048,0.423,0.464,0.343,0.48,0.84,0.535
2243,Jon Brockman,2010-11,23,MIL,NBA,1.9,63,6,677,48,94,48,94,0,0,40,59,74,110,184,18,14,3,24,119,136,0.511,0.511,,0.511,0.678,0.567
2244,Trey Burke,2018-19,26,TOT,NBA,1.9,58,8,1125,236,548,180,389,56,159,103,124,28,71,99,159,33,7,49,58,631,0.431,0.463,0.352,0.482,0.831,0.524
2245,Alec Burks,2017-18,26,UTA,NBA,1.9,64,1,1059,170,414,123,272,47,142,107,124,19,173,192,67,37,8,60,75,494,0.411,0.452,0.331,0.467,0.863,0.527
2246,Will Bynum,2009-10,27,DET,NBA,1.9,63,20,1667,237,534,225,479,12,55,142,178,24,118,142,283,55,7,115,143,628,0.444,0.47,0.218,0.455,0.798,0.513
2247,Vince Carter,2018-19,42,ATL,NBA,1.9,76,9,1330,196,468,73,152,123,316,47,66,31,163,194,87,44,27,48,141,562,0.419,0.48,0.389,0.55,0.712,0.565
2248,Wendell Carter,2018-19,19,CHI,NBA,1.9,44,44,1110,180,371,174,339,6,32,89,112,87,220,307,78,26,58,65,152,455,0.485,0.513,0.188,0.493,0.795,0.541
2249,Jamal Crawford,2016-17,36,LAC,NBA,1.9,82,1,2157,359,870,243,548,116,322,174,203,17,112,129,214,61,14,134,115,1008,0.413,0.443,0.36,0.479,0.857,0.525
2250,Jordan Crawford,2012-13,24,TOT,NBA,1.9,70,14,1709,301,725,218,479,83,246,129,159,44,165,209,225,39,7,141,106,814,0.415,0.455,0.337,0.472,0.811,0.512
2251,Dante Cunningham,2018-19,31,SAS,NBA,1.9,64,21,928,75,158,45,93,30,65,14,18,48,140,188,50,27,13,22,71,194,0.475,0.484,0.462,0.57,0.778,0.585
2252,Dante Cunningham,2009-10,22,POR,NBA,1.9,63,2,707,106,214,106,212,0,2,31,48,54,106,160,14,24,22,15,97,243,0.495,0.5,0,0.495,0.646,0.517
2253,Erick Dampier,2010-11,35,MIA,NBA,1.9,51,22,815,52,89,52,88,0,1,24,44,53,124,177,22,14,47,32,82,128,0.584,0.591,0,0.584,0.545,0.591
2254,Matthew Dellavedova,2014-15,24,CLE,NBA,1.9,67,13,1380,111,307,43,140,68,167,29,38,37,89,126,204,24,2,61,152,319,0.362,0.307,0.407,0.472,0.763,0.493
2255,Cheick Diallo,2017-18,21,NOP,NBA,1.9,52,0,581,102,176,102,176,0,0,50,66,47,164,211,19,11,21,28,82,254,0.58,0.58,,0.58,0.758,0.619
2256,Joey Dorsey,2014-15,31,HOU,NBA,1.9,69,17,854,80,145,80,144,0,1,24,83,103,176,279,25,40,25,41,157,184,0.552,0.556,0,0.552,0.289,0.507
2257,Chris Duhon,2009-10,27,NYK,NBA,1.9,67,59,2072,168,451,78,193,90,258,68,95,28,150,178,378,59,3,110,83,494,0.373,0.404,0.349,0.472,0.716,0.501
2258,Joel Embiid,2016-17,22,PHI,NBA,1.9,31,31,786,200,429,164,331,36,98,191,244,61,182,243,66,27,76,117,112,627,0.466,0.495,0.367,0.508,0.783,0.584
2259,James Ennis,2014-15,24,MIA,NBA,1.9,62,3,1051,101,247,70,152,31,95,79,94,51,125,176,48,25,17,39,89,312,0.409,0.461,0.326,0.472,0.84,0.541
2260,Jordan Farmar,2010-11,24,NJN,NBA,1.9,73,18,1796,255,651,146,347,109,304,82,100,24,149,173,368,62,6,139,128,701,0.392,0.421,0.359,0.475,0.82,0.504
2261,Raymond Felton,2016-17,32,LAC,NBA,1.9,80,11,1700,221,514,175,370,46,144,50,64,33,185,218,191,66,22,83,125,538,0.43,0.473,0.319,0.475,0.781,0.496
2262,Yogi Ferrell,2018-19,25,SAC,NBA,1.9,71,3,1067,153,352,99,203,54,149,60,67,13,96,109,137,36,4,40,64,420,0.435,0.488,0.362,0.511,0.896,0.55
2263,Kevin Garnett,2014-15,38,TOT,NBA,1.9,47,47,952,143,306,142,299,1,7,36,45,48,263,311,77,46,17,46,109,323,0.467,0.475,0.143,0.469,0.8,0.496
2264,Alonzo Gee,2012-13,25,CLE,NBA,1.9,82,82,2541,305,744,236,525,69,219,163,205,75,245,320,133,107,29,132,199,842,0.41,0.45,0.315,0.456,0.795,0.505
2265,Alonzo Gee,2015-16,28,NOP,NBA,1.9,73,38,1632,132,255,115,195,17,60,44,66,60,185,245,72,63,13,55,169,325,0.518,0.59,0.283,0.551,0.667,0.572
2266,Gerald Green,2018-19,33,HOU,NBA,1.9,73,0,1473,231,578,75,137,156,441,57,68,30,152,182,40,33,27,55,126,675,0.4,0.547,0.354,0.535,0.838,0.555
2267,Gerald Green,2014-15,29,PHO,NBA,1.9,74,4,1446,324,778,187,391,137,387,99,120,33,153,186,91,42,12,104,145,884,0.416,0.478,0.354,0.504,0.825,0.532
2268,Tim Hardaway,2015-16,23,ATL,NBA,1.9,51,1,864,114,265,66,123,48,142,50,56,7,79,86,51,21,7,23,48,326,0.43,0.537,0.338,0.521,0.893,0.563
2269,Spencer Hawes,2015-16,27,CHO,NBA,1.9,57,6,1035,124,306,86,204,38,102,54,65,51,193,244,109,22,27,58,111,340,0.405,0.422,0.373,0.467,0.831,0.508
2270,John Henson,2012-13,22,MIL,NBA,1.9,63,9,827,162,336,162,333,0,3,56,105,116,181,297,31,19,42,47,83,380,0.482,0.486,0,0.482,0.533,0.497
2271,Kris Humphries,2009-10,24,TOT,NBA,1.9,69,0,1221,180,408,180,407,0,1,127,190,120,258,378,32,36,48,66,145,487,0.441,0.442,0,0.441,0.668,0.495
2272,Wesley Iwundu,2018-19,24,ORL,NBA,1.9,68,13,1233,113,274,84,195,29,79,84,103,37,147,184,73,28,22,44,123,339,0.412,0.431,0.367,0.465,0.816,0.531
2273,Reggie Jackson,2016-17,26,DET,NBA,1.9,52,50,1424,284,677,218,493,66,184,118,136,21,93,114,270,35,5,114,129,752,0.419,0.442,0.359,0.468,0.868,0.51
2274,Stephen Jackson,2010-11,32,CHA,NBA,1.9,67,67,2405,435,1059,314,700,121,359,249,305,53,251,304,241,80,28,209,161,1240,0.411,0.449,0.337,0.468,0.816,0.52
2275,Wesley Johnson,2013-14,26,LAL,NBA,1.9,79,62,2240,277,651,177,380,100,271,61,77,70,278,348,124,86,77,90,207,715,0.425,0.466,0.369,0.502,0.792,0.522
2276,Shaun Livingston,2010-11,25,CHA,NBA,1.9,73,0,1261,185,397,184,393,1,4,108,125,29,120,149,164,47,29,88,109,479,0.466,0.468,0.25,0.467,0.864,0.53
2277,Robin Lopez,2017-18,29,CHI,NBA,1.9,64,64,1690,342,645,338,631,4,14,68,90,134,156,290,124,14,53,107,109,756,0.53,0.536,0.286,0.533,0.756,0.552
2278,Shelvin Mack,2017-18,27,ORL,NBA,1.9,69,3,1365,178,414,130,275,48,139,69,97,23,143,166,272,54,8,89,91,473,0.43,0.473,0.345,0.488,0.711,0.518
2279,Kevin Martin,2014-15,31,MIN,NBA,1.9,39,36,1302,267,625,192,434,75,191,170,193,19,123,142,89,33,1,76,76,779,0.427,0.442,0.393,0.487,0.881,0.549
2280,Roger Mason,2009-10,29,SAS,NBA,1.9,79,5,1515,193,496,105,232,88,264,27,34,11,151,162,137,30,14,59,99,501,0.389,0.453,0.333,0.478,0.794,0.49
2281,Eric Maynor,2009-10,22,TOT,NBA,1.9,81,2,1269,154,368,132,297,22,71,52,72,21,108,129,266,40,10,85,115,382,0.418,0.444,0.31,0.448,0.722,0.478
2282,T.J. McConnell,2015-16,23,PHI,NBA,1.9,81,17,1606,218,464,187,375,31,89,26,41,43,207,250,367,95,10,140,114,493,0.47,0.499,0.348,0.503,0.634,0.511
2283,Rodney McGruder,2018-19,27,MIA,NBA,1.9,66,45,1550,186,461,107,236,79,225,52,72,60,178,238,112,36,12,64,115,503,0.403,0.453,0.351,0.489,0.722,0.51
2284,C.J. Miles,2009-10,22,UTA,NBA,1.9,63,28,1497,241,562,167,345,74,217,66,95,42,126,168,105,58,17,81,190,622,0.429,0.484,0.341,0.495,0.695,0.515
2285,Anthony Morrow,2015-16,30,OKC,NBA,1.9,68,6,926,136,333,57,129,79,204,29,39,10,52,62,24,22,5,17,64,380,0.408,0.442,0.387,0.527,0.744,0.543
2286,Mike Muscala,2014-15,23,ATL,NBA,1.9,40,8,502,83,151,74,129,9,22,22,25,52,67,119,25,16,19,21,52,197,0.55,0.574,0.409,0.579,0.88,0.608
2287,Gary Neal,2012-13,28,SAS,NBA,1.9,68,17,1484,246,597,157,346,89,251,64,74,13,130,143,129,30,2,69,93,645,0.412,0.454,0.355,0.487,0.865,0.512
2288,Austin Rivers,2015-16,23,LAC,NBA,1.9,67,7,1464,226,516,164,331,62,185,79,116,22,108,130,99,48,9,61,137,593,0.438,0.495,0.335,0.498,0.681,0.523
2289,Iman Shumpert,2012-13,22,NYK,NBA,1.9,45,45,996,109,275,58,148,51,127,36,47,31,105,136,75,43,7,37,99,305,0.396,0.392,0.402,0.489,0.766,0.516
2290,Jonathon Simmons,2017-18,28,ORL,NBA,1.9,69,50,2029,354,761,285,557,69,204,185,241,61,178,239,171,58,16,146,175,962,0.465,0.512,0.338,0.511,0.768,0.555
2291,Marcus Smart,2017-18,23,BOS,NBA,1.9,54,11,1614,189,515,114,266,75,249,97,133,43,146,189,259,71,23,129,133,550,0.367,0.429,0.301,0.44,0.729,0.479
2292,Anderson Varejão,2014-15,32,CLE,NBA,1.9,26,26,636,111,200,111,198,0,2,33,45,57,113,170,35,19,16,35,58,255,0.555,0.561,0,0.555,0.733,0.58
2293,Henry Walker,2009-10,22,TOT,NBA,1.9,35,13,768,120,232,70,116,50,116,39,49,15,73,88,40,23,3,28,83,329,0.517,0.603,0.431,0.625,0.796,0.649
2294,Ben Wallace,2010-11,36,DET,NBA,1.9,54,49,1238,67,149,66,147,1,2,19,57,129,221,350,72,54,54,44,81,154,0.45,0.449,0.5,0.453,0.333,0.442
2295,Damien Wilkins,2009-10,30,MIN,NBA,1.9,80,31,1585,165,381,147,320,18,61,103,129,72,177,249,135,66,25,76,144,451,0.433,0.459,0.295,0.457,0.798,0.515
2296,Damien Wilkins,2012-13,33,PHI,NBA,1.9,61,21,1095,145,316,128,265,17,51,81,109,32,73,105,91,37,18,49,98,388,0.459,0.483,0.333,0.486,0.743,0.533
2297,Shawne Williams,2014-15,28,TOT,NBA,1.9,63,22,1087,121,300,57,122,64,178,35,40,36,130,166,44,25,21,30,135,341,0.403,0.467,0.36,0.51,0.875,0.537
2298,Shelden Williams,2010-11,27,TOT,NBA,1.9,59,38,911,103,220,103,220,0,0,58,75,93,180,273,32,23,26,43,126,264,0.468,0.468,,0.468,0.773,0.522
2299,Dorell Wright,2013-14,28,POR,NBA,1.9,68,13,984,111,297,42,95,69,202,52,69,29,162,191,64,23,16,39,62,343,0.374,0.442,0.342,0.49,0.754,0.524
2300,Nick Young,2011-12,26,TOT,NBA,1.9,62,35,1729,316,784,213,502,103,282,144,169,31,102,133,56,44,17,83,141,879,0.403,0.424,0.365,0.469,0.852,0.512
