,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
722,Aaron Gordon,2015-16,20,ORL,NBA,5.4,78,37,1863,274,579,232,437,42,142,129,193,154,353,507,128,59,55,66,153,719,0.473,0.531,0.296,0.509,0.668,0.541
723,Jerami Grant,2017-18,23,OKC,NBA,5.4,81,1,1647,244,456,212,346,32,110,162,240,86,233,319,57,31,77,54,155,682,0.535,0.613,0.291,0.57,0.675,0.607
724,Gordon Hayward,2012-13,22,UTA,NBA,5.4,72,27,2104,336,773,234,527,102,246,243,294,51,174,225,213,58,38,120,125,1017,0.435,0.444,0.415,0.501,0.827,0.564
725,Roy Hibbert,2013-14,27,IND,NBA,5.4,81,81,2409,331,754,329,749,2,5,207,269,202,336,538,91,29,182,148,269,871,0.439,0.439,0.4,0.44,0.77,0.499
726,George Hill,2014-15,28,IND,NBA,5.4,43,36,1267,255,535,186,342,69,193,113,143,25,154,179,220,44,14,69,111,692,0.477,0.544,0.358,0.541,0.79,0.579
727,Jrue Holiday,2018-19,28,NOP,NBA,5.4,67,67,2402,547,1159,429,796,118,363,208,271,75,259,334,518,109,54,210,148,1420,0.472,0.539,0.325,0.523,0.768,0.555
728,Kris Humphries,2010-11,25,NJN,NBA,5.4,74,44,2061,307,583,307,582,0,1,127,191,225,546,771,84,33,80,103,168,741,0.527,0.527,0,0.527,0.665,0.555
729,Enes Kanter,2018-19,26,TOT,NBA,5.4,67,31,1640,375,683,365,649,10,34,155,197,257,402,659,116,32,26,118,167,915,0.549,0.562,0.294,0.556,0.787,0.594
730,Jason Kidd,2012-13,39,NYK,NBA,5.4,76,48,2043,152,409,38,84,114,325,40,48,50,273,323,249,125,25,76,125,458,0.372,0.452,0.351,0.511,0.833,0.532
731,Jeremy Lin,2012-13,24,HOU,NBA,5.4,82,82,2640,396,897,309,640,87,257,216,275,32,215,247,497,134,29,236,205,1095,0.441,0.483,0.339,0.49,0.785,0.538
732,Andre Miller,2012-13,36,DEN,NBA,5.4,82,11,2151,303,632,286,568,17,64,163,194,60,178,238,484,73,11,172,159,786,0.479,0.504,0.266,0.493,0.84,0.548
733,Marcus Morris,2015-16,26,DET,NBA,5.4,80,80,2856,410,945,302,647,108,298,203,271,91,313,404,201,67,23,140,170,1131,0.434,0.467,0.362,0.491,0.749,0.531
734,Josh Richardson,2017-18,24,MIA,NBA,5.4,81,81,2689,399,885,272,549,127,336,120,142,69,216,285,231,121,75,140,199,1045,0.451,0.495,0.378,0.523,0.845,0.551
735,Anderson Varejão,2013-14,31,CLE,NBA,5.4,65,29,1800,227,459,227,452,0,7,92,135,187,442,629,140,69,39,72,164,546,0.495,0.502,0,0.495,0.681,0.527
736,David West,2015-16,35,SAS,NBA,5.4,78,19,1404,244,448,241,441,3,7,63,80,72,237,309,143,44,55,68,142,554,0.545,0.546,0.429,0.548,0.788,0.573
737,Deron Williams,2013-14,29,BRK,NBA,5.4,64,58,2059,322,716,224,448,98,268,173,216,15,153,168,392,93,13,143,148,915,0.45,0.5,0.366,0.518,0.801,0.564
738,Arron Afflalo,2013-14,28,ORL,NBA,5.3,73,73,2552,464,1011,336,711,128,300,274,336,32,230,262,248,35,3,146,136,1330,0.459,0.473,0.427,0.522,0.815,0.574
739,Arron Afflalo,2011-12,26,DEN,NBA,5.3,62,62,2086,329,699,241,478,88,221,197,247,40,157,197,149,36,13,85,134,943,0.471,0.504,0.398,0.534,0.798,0.584
740,Trevor Ariza,2017-18,32,HOU,NBA,5.3,67,67,2269,268,651,98,189,170,462,76,89,33,261,294,105,98,13,52,132,782,0.412,0.519,0.368,0.542,0.854,0.567
741,Brandon Bass,2014-15,29,BOS,NBA,5.3,82,43,1929,344,683,335,651,9,32,169,214,139,259,398,104,41,32,83,140,866,0.504,0.515,0.281,0.51,0.79,0.557
742,Patrick Beverley,2016-17,28,HOU,NBA,5.3,67,67,2058,228,543,118,255,110,288,73,95,95,298,393,281,99,25,100,222,639,0.42,0.463,0.382,0.521,0.768,0.546
743,Eric Bledsoe,2016-17,27,PHO,NBA,5.3,66,66,2176,449,1034,345,724,104,310,388,458,52,268,320,418,91,31,224,164,1390,0.434,0.477,0.335,0.485,0.847,0.563
744,Kentavious Caldwell-Pope,2015-16,22,DET,NBA,5.3,76,76,2789,403,960,289,591,114,369,185,228,70,212,282,138,110,17,105,167,1105,0.42,0.489,0.309,0.479,0.811,0.521
745,Kentavious Caldwell-Pope,2017-18,24,LAL,NBA,5.3,74,74,2458,340,798,181,383,159,415,153,194,60,327,387,162,106,16,97,145,992,0.426,0.473,0.383,0.526,0.789,0.561
746,Mike Conley,2015-16,28,MEM,NBA,5.3,56,56,1761,294,696,216,481,78,215,191,229,26,138,164,342,67,16,84,100,857,0.422,0.449,0.363,0.478,0.834,0.538
747,Jamal Crawford,2013-14,33,LAC,NBA,5.3,69,24,2094,421,1011,260,565,161,446,279,322,34,124,158,223,59,12,135,120,1282,0.416,0.46,0.361,0.496,0.866,0.556
748,Goran Dragi_,2017-18,31,MIA,NBA,5.3,75,75,2378,484,1075,373,775,111,300,217,271,54,253,306,359,63,12,166,180,1296,0.45,0.481,0.37,0.502,0.801,0.543
749,Jared Dudley,2009-10,24,PHO,NBA,5.3,82,1,1991,225,490,105,228,120,262,104,138,99,182,281,115,81,16,68,162,674,0.459,0.461,0.458,0.582,0.754,0.612
750,Landry Fields,2010-11,22,NYK,NBA,5.3,82,81,2541,299,602,213,383,86,219,113,147,105,416,521,155,80,17,107,114,797,0.497,0.556,0.393,0.568,0.769,0.598
751,Channing Frye,2013-14,30,PHO,NBA,5.3,82,82,2312,336,778,176,346,160,432,78,95,73,343,416,98,60,63,89,245,910,0.432,0.509,0.37,0.535,0.821,0.555
752,Eric Gordon,2010-11,22,LAC,NBA,5.3,56,56,2112,427,949,321,658,106,291,287,348,45,119,164,244,71,18,151,115,1247,0.45,0.488,0.364,0.506,0.825,0.566
753,Kris Humphries,2011-12,26,NJN,NBA,5.3,62,62,2162,323,671,323,671,0,0,209,278,233,448,681,90,50,74,119,173,855,0.481,0.481,,0.481,0.752,0.539
754,Kyrie Irving,2012-13,20,CLE,NBA,5.3,59,59,2048,484,1070,375,791,109,279,248,290,34,182,216,350,89,21,191,146,1325,0.452,0.474,0.391,0.503,0.855,0.553
755,Kyle Korver,2011-12,30,CHI,NBA,5.3,65,7,1469,178,412,60,141,118,271,55,66,26,133,159,112,36,15,53,110,529,0.432,0.426,0.435,0.575,0.833,0.6
756,Jeremy Lamb,2018-19,26,CHO,NBA,5.3,79,55,2250,431,979,316,649,115,330,231,260,65,369,434,172,88,32,80,140,1208,0.44,0.487,0.348,0.499,0.888,0.552
757,Shawn Marion,2012-13,34,DAL,NBA,5.3,67,67,2010,355,690,332,617,23,73,79,101,146,379,525,163,75,47,103,111,812,0.514,0.538,0.315,0.531,0.782,0.553
758,Kevin Martin,2013-14,30,MIN,NBA,5.3,68,68,2177,440,1023,325,726,115,297,303,340,34,169,203,121,66,6,106,123,1298,0.43,0.448,0.387,0.486,0.891,0.553
759,JaVale McGee,2010-11,23,WAS,NBA,5.3,79,75,2193,332,604,332,601,0,3,134,230,223,411,634,38,41,193,102,232,798,0.55,0.552,0,0.55,0.583,0.566
760,Ricky Rubio,2017-18,27,UTA,NBA,5.3,77,77,2254,346,827,250,554,96,273,220,254,44,307,351,410,121,11,207,206,1008,0.418,0.451,0.352,0.476,0.866,0.537
761,Marcus Smart,2018-19,24,BOS,NBA,5.3,80,60,2200,239,567,113,221,126,346,104,129,57,177,234,321,143,28,123,201,708,0.422,0.511,0.364,0.533,0.806,0.568
762,Jason Terry,2010-11,33,DAL,NBA,5.3,82,10,2564,492,1091,365,740,127,351,182,214,24,129,153,334,93,13,167,140,1293,0.451,0.493,0.362,0.509,0.85,0.545
763,Klay Thompson,2018-19,28,GSW,NBA,5.3,78,78,2652,655,1402,414,803,241,599,129,158,37,262,299,186,84,47,115,157,1680,0.467,0.516,0.402,0.553,0.816,0.571
764,Anthony Tolliver,2017-18,32,DET,NBA,5.3,79,14,1757,219,472,60,107,159,365,106,133,50,191,241,90,32,21,58,144,703,0.464,0.561,0.436,0.632,0.797,0.663
765,Hassan Whiteside,2014-15,25,MIA,NBA,5.3,48,32,1142,243,387,243,387,0,0,78,156,145,337,482,6,27,123,58,129,564,0.628,0.628,,0.628,0.5,0.619
766,Hassan Whiteside,2017-18,28,MIA,NBA,5.3,54,54,1364,312,578,310,576,2,2,128,182,174,444,618,54,37,94,92,131,754,0.54,0.538,1,0.542,0.703,0.573
767,Metta World Peace,2009-10,30,LAL,NBA,5.3,77,77,2605,306,740,201,444,105,296,128,186,99,232,331,234,106,21,121,165,845,0.414,0.453,0.355,0.484,0.688,0.514
768,Ryan Anderson,2016-17,28,HOU,NBA,5.2,72,72,2116,323,773,119,267,204,506,129,150,112,218,330,68,31,14,55,142,979,0.418,0.446,0.403,0.55,0.86,0.583
769,Nicolas Batum,2014-15,26,POR,NBA,5.2,71,71,2380,240,600,140,291,100,309,84,98,62,354,416,341,78,40,132,106,664,0.4,0.481,0.324,0.483,0.857,0.516
770,Andrew Bogut,2014-15,30,GSW,NBA,5.2,67,65,1583,200,355,200,355,0,0,22,42,141,402,543,180,39,113,106,188,422,0.563,0.563,,0.563,0.524,0.565
771,Corey Brewer,2013-14,27,MIN,NBA,5.2,81,81,2609,388,807,329,596,59,211,163,227,63,144,207,135,151,30,105,210,998,0.481,0.552,0.28,0.517,0.718,0.55
772,Mario Chalmers,2012-13,26,MIA,NBA,5.2,77,77,2068,227,529,104,228,123,301,89,112,19,152,171,273,118,12,119,196,666,0.429,0.456,0.409,0.545,0.795,0.576
773,Darren Collison,2015-16,28,SAC,NBA,5.2,74,15,2219,377,776,290,559,87,217,194,226,28,141,169,318,76,4,130,142,1035,0.486,0.519,0.401,0.542,0.858,0.591
774,Nick Collison,2012-13,32,OKC,NBA,5.2,81,2,1583,176,296,176,292,0,4,60,78,123,210,333,121,51,30,69,197,412,0.595,0.603,0,0.595,0.769,0.624
775,Samuel Dalembert,2009-10,28,PHI,NBA,5.2,82,80,2124,285,523,285,523,0,0,97,133,239,545,784,64,42,151,123,252,667,0.545,0.545,,0.545,0.729,0.573
776,Dewayne Dedmon,2016-17,27,SAS,NBA,5.2,76,37,1330,161,259,161,259,0,0,65,93,129,367,496,44,37,61,61,180,387,0.622,0.622,,0.622,0.699,0.645
777,Tim Duncan,2015-16,39,SAS,NBA,5.2,61,60,1536,215,441,215,439,0,2,92,131,115,332,447,163,47,78,90,125,522,0.488,0.49,0,0.488,0.702,0.523
778,Taj Gibson,2010-11,25,CHI,NBA,5.2,80,19,1742,234,502,233,494,1,8,100,148,162,296,458,58,39,106,71,203,569,0.466,0.472,0.125,0.467,0.676,0.502
779,Jeff Green,2014-15,28,TOT,NBA,5.2,78,70,2454,416,967,319,675,97,292,239,287,64,264,328,134,53,34,108,147,1168,0.43,0.473,0.332,0.48,0.833,0.534
780,DeAndre Jordan,2010-11,22,LAC,NBA,5.2,80,66,2047,234,341,234,340,0,1,98,217,207,368,575,42,41,142,101,255,566,0.686,0.688,0,0.686,0.452,0.648
781,Donovan Mitchell,2017-18,21,UTA,NBA,5.2,79,71,2638,595,1362,408,812,187,550,239,297,52,244,296,291,118,27,215,213,1616,0.437,0.502,0.34,0.506,0.805,0.541
782,Kendrick Perkins,2009-10,25,BOS,NBA,5.2,78,78,2154,314,522,314,519,0,3,163,280,155,440,595,80,26,132,165,219,791,0.602,0.605,0,0.602,0.582,0.613
783,Paul Pierce,2013-14,36,BRK,NBA,5.2,75,68,2098,321,712,209,412,112,300,256,310,26,322,348,178,86,31,153,190,1010,0.451,0.507,0.373,0.529,0.826,0.595
784,J.J. Redick,2011-12,27,ORL,NBA,5.2,65,22,1765,248,584,136,316,112,268,143,157,18,132,150,164,27,6,68,92,751,0.425,0.43,0.418,0.521,0.911,0.575
785,Jeff Teague,2013-14,25,ATL,NBA,5.2,79,79,2542,456,1040,382,815,74,225,318,376,34,174,208,528,89,17,232,158,1304,0.438,0.469,0.329,0.474,0.846,0.541
786,Tristan Thompson,2012-13,21,CLE,NBA,5.2,82,82,2564,390,799,390,796,0,3,177,291,306,467,773,108,60,71,123,234,957,0.488,0.49,0,0.488,0.608,0.516
787,Nikola Vu_evi_,2015-16,25,ORL,NBA,5.2,65,60,2037,533,1046,531,1037,2,9,113,150,174,402,576,179,53,70,123,173,1181,0.51,0.512,0.222,0.511,0.753,0.531
788,Russell Westbrook,2013-14,25,OKC,NBA,5.2,46,46,1412,346,791,278,577,68,214,242,293,55,208,263,319,88,7,177,104,1002,0.437,0.482,0.318,0.48,0.826,0.545
789,Lou Williams,2009-10,23,PHI,NBA,5.2,64,38,1912,318,677,248,471,70,206,192,233,25,162,187,268,80,15,106,110,898,0.47,0.527,0.34,0.521,0.824,0.576
790,Tony Allen,2012-13,31,MEM,NBA,5.1,79,79,2109,284,638,281,614,3,24,134,187,121,242,363,98,119,44,94,211,705,0.445,0.458,0.125,0.447,0.717,0.489
791,Brandon Bass,2013-14,28,BOS,NBA,5.1,82,73,2266,352,725,350,719,2,6,205,239,161,309,470,87,36,71,102,190,911,0.486,0.487,0.333,0.487,0.858,0.549
792,Shane Battier,2010-11,32,TOT,NBA,5.1,82,59,2375,229,509,127,242,102,267,64,93,90,283,373,185,69,81,79,158,624,0.45,0.525,0.382,0.55,0.688,0.567
793,José Calderón,2011-12,30,TOR,NBA,5.1,53,53,1799,218,477,159,318,59,159,60,68,19,141,160,468,47,3,104,94,555,0.457,0.5,0.371,0.519,0.882,0.547
794,Goran Dragi_,2011-12,25,HOU,NBA,5.1,66,28,1752,277,600,209,398,68,202,153,190,53,115,168,351,85,10,157,166,775,0.462,0.525,0.337,0.518,0.805,0.567
795,Jared Dudley,2011-12,26,PHO,NBA,5.1,65,60,2020,312,643,232,434,80,209,119,164,95,206,301,112,49,19,72,107,823,0.485,0.535,0.383,0.547,0.726,0.575
796,Derrick Favors,2013-14,22,UTA,NBA,5.1,73,73,2201,390,747,390,746,0,1,190,284,199,438,637,91,75,108,129,236,970,0.522,0.523,0,0.522,0.669,0.556
797,Taj Gibson,2018-19,33,MIN,NBA,5.1,70,57,1686,304,537,293,503,11,34,134,177,172,286,458,84,53,39,73,186,753,0.566,0.583,0.324,0.576,0.757,0.612
798,Aaron Gordon,2018-19,23,ORL,NBA,5.1,78,78,2633,470,1046,349,699,121,347,185,253,129,445,574,289,57,56,162,172,1246,0.449,0.499,0.349,0.507,0.731,0.538
799,Serge Ibaka,2017-18,28,TOR,NBA,5.1,76,76,2093,379,784,272,487,107,297,94,118,78,400,478,62,29,99,90,209,959,0.483,0.559,0.36,0.552,0.797,0.574
800,Serge Ibaka,2016-17,27,TOT,NBA,5.1,79,79,2422,471,982,347,665,124,317,107,125,129,409,538,75,41,124,105,215,1173,0.48,0.522,0.391,0.543,0.856,0.566
